name,rounded_rating,avg_review_count,price,,,App Lifespan (Months),App Lifespan (Years),Gross Income,Marketing Cost,Total Profit
PewDiePie's Tuber Simulator,5,1590317,$0.00 ,,,132,11,"$660,000.00 ","$132,000.00 ","$528,000.00 "
Geometry Dash Lite,4.75,6552010,$0.00 ,,,126,10.5,"$630,000.00 ","$126,000.00 ","$504,000.00 "
Zombie Catchers,4.75,5959222,$0.00 ,,,126,10.5,"$630,000.00 ","$126,000.00 ","$504,000.00 "
Toy Blast,4.75,3854654,$0.00 ,,,126,10.5,"$630,000.00 ","$126,000.00 ","$504,000.00 "
Domino's Pizza USA,4.75,1291559,$0.00 ,,,126,10.5,"$630,000.00 ","$126,000.00 ","$504,000.00 "
"Egg, Inc.",4.75,659234,$0.00 ,,,126,10.5,"$630,000.00 ","$126,000.00 ","$504,000.00 "
Cytus,4.75,549657,$1.00 ,,,126,10.5,"$630,000.00 ","$126,000.00 ","$504,000.00 "
Fernanfloo,4.75,529481,$0.00 ,,,126,10.5,"$630,000.00 ","$126,000.00 ","$504,000.00 "
ASOS,4.75,373346,$0.00 ,,,126,10.5,"$630,000.00 ","$126,000.00 ","$504,000.00 "
The Guardian,4.75,256168,$0.00 ,,,126,10.5,"$630,000.00 ","$126,000.00 ","$504,000.00 "
,,,,,,,,,,
,,,,,,,,,,Grand Total Profit
,,,,,,,,,,"$5,064,000.00 "
